frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,27.051795197196686,neutral,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_000.png,0,0,0,"cold:

hot:
"
1,28.800126119104206,neutral,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_001.png,0,0,0,"cold:

hot:
"
2,28.899368690526533,neutral,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_002.png,0,0,0,"cold:

hot:
"
3,28.161331991907577,neutral,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_003.png,0,0,0,"cold:

hot:
"
4,29.694789821915663,neutral,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_004.png,0,0,0,"cold:

hot:
"
5,42.358602186518155,hot,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_005.png,0,0,0,"cold:

hot:
"
6,36.60806349495404,warm,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_006.png,0,0,0,"cold:

hot:
"
7,33.89606734797061,warm,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_007.png,0,0,0,"cold:

hot:
"
8,30.383644394822934,warm,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_008.png,0,0,0,"cold:

hot:
"
9,33.206810409485804,warm,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_009.png,0,0,0,"cold:

hot:
"
10,50.17185972705522,hot,frame_010.png,frame_010.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_010.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_010.png,0,0,0,"cold:

hot:
"
11,43.311216815641984,hot,frame_011.png,frame_011.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_011.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_011.png,0,0,0,"cold:

hot:
"
12,36.16336702377789,warm,frame_012.png,frame_012.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/cleaned/frame_012.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-20_12-38-44/thermal/frame_012.png,0,0,0,"cold:

hot:
"
