frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,28.711328563987482,neutral,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_000.png,0,0,0,"cold:

hot:
"
1,30.352482273782055,warm,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_001.png,2,1,1,"cold:
item1:(5, 30)
hot:
item1:(31, 49)"
2,29.606622948930653,neutral,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_002.png,1,0,1,"cold:

hot:
item1:(0, 12)"
3,24.50633954019906,neutral,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_003.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
4,24.34049833877123,neutral,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_004.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
5,46.994449351094204,hot,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_005.png,2,1,1,"cold:
item1:(3, 4)
hot:
item1:(6, 49)"
6,49.222378735239566,hot,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_006.png,1,0,1,"cold:

hot:
item1:(4, 49)"
7,23.729972469056875,neutral,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_007.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
8,23.514864438783494,neutral,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_008.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
9,26.846141608993694,neutral,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_009.png,0,0,0,"cold:

hot:
"
10,27.735035015917344,neutral,frame_010.png,frame_010.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/cleaned/frame_010.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-09_00-24-49/thermal/frame_010.png,0,0,0,"cold:

hot:
"
