frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,27.154906697062348,neutral,frame_000.png,frame_000.wav,0,0,0,"cold:

hot:
"
1,31.052104440710895,warm,frame_001.png,frame_001.wav,0,0,0,"cold:

hot:
"
2,30.789845700638022,warm,frame_002.png,frame_002.wav,0,0,0,"cold:

hot:
"
3,30.781593601984458,warm,frame_003.png,frame_003.wav,0,0,0,"cold:

hot:
"
4,30.61598634781466,warm,frame_004.png,frame_004.wav,0,0,0,"cold:

hot:
"
5,32.412215527416464,warm,frame_005.png,frame_005.wav,0,0,0,"cold:

hot:
"
6,32.78566870398392,warm,frame_006.png,frame_006.wav,0,0,0,"cold:

hot:
"
7,27.349586979041124,neutral,frame_007.png,frame_007.wav,0,0,0,"cold:

hot:
"
8,23.28465034632519,neutral,frame_008.png,frame_008.wav,1,0,0,"cold:

hot:
"
9,23.355832538476715,neutral,frame_009.png,frame_009.wav,1,0,0,"cold:

hot:
"
10,23.489171381522226,neutral,frame_010.png,frame_010.wav,1,0,0,"cold:

hot:
"
11,25.61592539242155,neutral,frame_011.png,frame_011.wav,0,0,0,"cold:

hot:
"
