frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,23.65802755043458,neutral,frame_000.png,frame_000.wav,3,2,1,"cold:
item1:0?17\nitem2:30?49
hot:
item1:18?29"
1,22.77071169488281,neutral,frame_001.png,frame_001.wav,3,2,1,"cold:
item1:0?16\nitem2:31?49
hot:
item1:17?30"
2,23.027110375269217,neutral,frame_002.png,frame_002.wav,3,2,1,"cold:
item1:0?24\nitem2:37?49
hot:
item1:25?36"
3,22.484982182914493,neutral,frame_003.png,frame_003.wav,3,2,1,"cold:
item1:0?22\nitem2:35?49
hot:
item1:23?34"
4,25.99009065772687,neutral,frame_004.png,frame_004.wav,3,2,1,"cold:
item1:0?15\nitem2:28?49
hot:
item1:16?27"
5,27.635804893038625,neutral,frame_005.png,frame_005.wav,3,2,1,"cold:
item1:0?14\nitem2:35?49
hot:
item1:15?34"
6,27.208078429082203,neutral,frame_006.png,frame_006.wav,2,1,1,"cold:
item1:0?27
hot:
item1:28?48"
7,27.500151382091676,neutral,frame_007.png,frame_007.wav,3,2,1,"cold:
item1:0?25\nitem2:48?49
hot:
item1:26?45"
8,27.27906959194833,neutral,frame_008.png,frame_008.wav,3,2,1,"cold:
item1:0?25\nitem2:47?49
hot:
item1:26?45"
9,36.19927262742559,warm,frame_009.png,frame_009.wav,3,2,1,"cold:
item1:0?15\nitem2:41?49
hot:
item1:16?40"
10,36.59179706948757,warm,frame_010.png,frame_010.wav,3,2,1,"cold:
item1:0?14\nitem2:40?49
hot:
item1:15?39"
11,36.17037373183411,warm,frame_011.png,frame_011.wav,3,2,1,"cold:
item1:0?14\nitem2:40?49
hot:
item1:15?39"
12,36.057456532951186,warm,frame_012.png,frame_012.wav,3,2,1,"cold:
item1:0?14\nitem2:40?49
hot:
item1:15?39"
13,36.20521998675059,warm,frame_013.png,frame_013.wav,3,2,1,"cold:
item1:0?14\nitem2:40?49
hot:
item1:15?38"
14,36.38277361477039,warm,frame_014.png,frame_014.wav,3,2,1,"cold:
item1:0?14\nitem2:40?49
hot:
item1:15?38"
15,53.72891212004436,hot,frame_015.png,frame_015.wav,1,0,1,"cold:

hot:
item1:6?49"
16,51.8690869292837,hot,frame_016.png,frame_016.wav,2,1,1,"cold:
item1:0?1
hot:
item1:7?49"
17,23.09402324593272,neutral,frame_017.png,frame_017.wav,3,2,1,"cold:
item1:0?29\nitem2:48?49
hot:
item1:30?47"
18,23.55725238382014,neutral,frame_018.png,frame_018.wav,3,2,1,"cold:
item1:0?26\nitem2:43?49
hot:
item1:27?42"
19,22.666648485882746,neutral,frame_019.png,frame_019.wav,3,2,1,"cold:
item1:0?27\nitem2:44?49
hot:
item1:28?43"
20,4.837962473807965,very cold,frame_020.png,frame_020.wav,1,1,0,"cold:
item1:0?49
hot:
"
21,15.524400573201055,cold,frame_021.png,frame_021.wav,5,3,2,"cold:
item1:0?37\nitem2:39?40\nitem3:42?49
hot:
item1:38?38\nitem2:41?41"
22,56.95972708070071,hot,frame_022.png,frame_022.wav,1,0,1,"cold:

hot:
item1:0?49"
23,46.97522978544748,hot,frame_023.png,frame_023.wav,2,1,1,"cold:
item1:0?3
hot:
item1:8?49"
24,28.922910281465146,neutral,frame_024.png,frame_024.wav,2,1,1,"cold:
item1:20?49
hot:
item1:0?19"
25,29.61720394428674,neutral,frame_025.png,frame_025.wav,2,1,1,"cold:
item1:19?49
hot:
item1:0?18"
26,30.293490232196547,warm,frame_026.png,frame_026.wav,2,1,1,"cold:
item1:19?43
hot:
item1:0?18"
