frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,25.657436308968915,neutral,frame_000.png,frame_000.wav,3,2,1,"cold:
item1:0?28\nitem2:35?49
hot:
item1:29?34"
1,24.485540529033234,neutral,frame_001.png,frame_001.wav,1,1,0,"cold:
item1:0?49
hot:
"
2,23.76160546202223,neutral,frame_002.png,frame_002.wav,1,1,0,"cold:
item1:0?49
hot:
"
3,17.378335321702572,cold,frame_003.png,frame_003.wav,1,1,0,"cold:
item1:0?49
hot:
"
4,15.898886019449051,cold,frame_004.png,frame_004.wav,1,1,0,"cold:
item1:0?49
hot:
"
5,17.36318492385296,cold,frame_005.png,frame_005.wav,1,1,0,"cold:
item1:0?49
hot:
"
6,19.539325555616475,cold,frame_006.png,frame_006.wav,1,1,0,"cold:
item1:0?49
hot:
"
7,24.421011278539947,neutral,frame_007.png,frame_007.wav,1,1,0,"cold:
item1:0?49
hot:
"
8,23.3274955061618,neutral,frame_008.png,frame_008.wav,1,1,0,"cold:
item1:0?49
hot:
"
9,23.6594702162961,neutral,frame_009.png,frame_009.wav,1,1,0,"cold:
item1:0?49
hot:
"
10,24.274919482006407,neutral,frame_010.png,frame_010.wav,1,1,0,"cold:
item1:0?49
hot:
"
11,18.767261155050345,cold,frame_011.png,frame_011.wav,1,1,0,"cold:
item1:0?49
hot:
"
12,21.284711969599325,neutral,frame_012.png,frame_012.wav,2,2,0,"cold:
item1:0?25\nitem2:27?49
hot:
"
13,13.88892426004064,cold,frame_013.png,frame_013.wav,1,1,0,"cold:
item1:0?49
hot:
"
14,26.343111453805165,neutral,frame_014.png,frame_014.wav,3,2,1,"cold:
item1:0?13\nitem2:25?49
hot:
item1:15?20"
15,23.99435103356571,neutral,frame_015.png,frame_015.wav,3,2,1,"cold:
item1:0?26\nitem2:28?49
hot:
item1:27?27"
16,25.53393108774057,neutral,frame_016.png,frame_016.wav,1,1,0,"cold:
item1:0?49
hot:
"
17,24.577872800523078,neutral,frame_017.png,frame_017.wav,1,1,0,"cold:
item1:0?49
hot:
"
18,23.750473068361448,neutral,frame_018.png,frame_018.wav,1,1,0,"cold:
item1:0?49
hot:
"
