frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,25.108832892761466,neutral,frame_000.png,frame_000.wav,cleaned/frame_000.png,thermal/frame_000.png,1,1,0,"cold:
item1:3?49
hot:
"
1,28.940685109082285,neutral,frame_001.png,frame_001.wav,cleaned/frame_001.png,thermal/frame_001.png,3,2,1,"cold:
item1:0?10
item2:30?49
hot:
item1:11?29"
2,23.794652736825302,neutral,frame_002.png,frame_002.wav,cleaned/frame_002.png,thermal/frame_002.png,3,2,1,"cold:
item1:0?4
item2:6?49
hot:
item1:5?5"
3,35.72479598061356,warm,frame_003.png,frame_003.wav,cleaned/frame_003.png,thermal/frame_003.png,2,1,1,"cold:
item1:25?49
hot:
item1:0?24"
4,22.863418936092874,neutral,frame_004.png,frame_004.wav,cleaned/frame_004.png,thermal/frame_004.png,1,1,0,"cold:
item1:0?49
hot:
"
5,23.619770493959464,neutral,frame_005.png,frame_005.wav,cleaned/frame_005.png,thermal/frame_005.png,1,1,0,"cold:
item1:0?49
hot:
"
