object_count,temperature,heat_range,detected_object
1,28.84260089162366,neutral,frame_001.png
2,30.69399861216017,warm,frame_002.png
3,36.726193629436686,warm,frame_003.png
4,26.505295508955168,neutral,frame_004.png
5,54.715477236211825,hot,frame_005.png
6,41.83492560674365,hot,frame_006.png
7,43.79420016714054,hot,frame_007.png
8,27.32007619424577,neutral,frame_008.png
9,22.671433655472295,neutral,frame_009.png
10,24.488672670716323,neutral,frame_010.png
11,25.734645149630467,neutral,frame_011.png
12,22.6106148803466,neutral,frame_012.png
13,27.966828339332192,neutral,frame_013.png
14,32.743038689042855,warm,frame_014.png
15,28.72295183697408,neutral,frame_015.png
16,23.529970499304863,neutral,frame_016.png
17,21.888447724229064,neutral,frame_017.png
18,21.363038390276802,neutral,frame_018.png
19,21.10022926959165,neutral,frame_019.png
20,20.585535271953024,neutral,frame_020.png
21,23.060934515084085,neutral,frame_021.png
22,24.23070561587079,neutral,frame_022.png
23,24.796200682213676,neutral,frame_023.png
24,25.246415248363395,neutral,frame_024.png
25,25.296121933642933,neutral,frame_025.png
26,21.101581638709447,neutral,frame_026.png
27,9.393574480553596,very cold,frame_027.png
28,21.38401969125128,neutral,frame_028.png
29,24.120169806873417,neutral,frame_029.png
30,29.419429184240666,neutral,frame_030.png
31,30.197194874213903,warm,frame_031.png
