frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,25.252742754711203,neutral,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_000.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
1,26.528144578854683,neutral,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_001.png,3,3,0,"cold:
item1:(0, 38)
item2:(41, 41)
item3:(44, 44)
hot:
"
2,26.357697928920995,neutral,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_002.png,1,1,0,"cold:
item1:(0, 47)
hot:
"
3,26.506870897772473,neutral,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_003.png,1,1,0,"cold:
item1:(0, 46)
hot:
"
4,29.56661671331001,neutral,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_004.png,5,4,1,"cold:
item1:(0, 2)
item2:(9, 9)
item3:(11, 11)
item4:(21, 34)
hot:
item1:(13, 19)"
5,32.25873486075458,warm,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_005.png,3,2,1,"cold:
item1:(0, 5)
item2:(23, 33)
hot:
item1:(12, 21)"
6,33.80361354954812,warm,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_006.png,3,2,1,"cold:
item1:(0, 3)
item2:(25, 34)
hot:
item1:(8, 24)"
7,35.83587865299905,warm,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_007.png,2,1,1,"cold:
item1:(0, 3)
hot:
item1:(8, 27)"
8,38.79785413810947,warm,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_008.png,4,1,3,"cold:
item1:(1, 2)
hot:
item1:(0, 0)
item2:(5, 28)
item3:(49, 49)"
9,25.182361369750463,neutral,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-19-24/thermal/frame_009.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
