frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,hot_item_count,cold_item_count,total_item_count
0,38.631820160855064,warm,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_000.png,50,0,50
1,38.60154334698411,warm,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_001.png,50,0,50
2,38.7428958382875,warm,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_002.png,50,0,50
3,38.965672386506164,warm,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_003.png,50,0,50
4,37.79435941900692,warm,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_004.png,50,0,50
5,37.76412878194942,warm,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_005.png,50,0,50
6,37.67418945300267,warm,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_006.png,50,0,50
7,38.29692768956132,warm,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_007.png,50,0,50
8,38.48231323326581,warm,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_008.png,50,0,50
9,38.41076488524704,warm,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_009.png,50,0,50
10,37.95961584674652,warm,frame_010.png,frame_010.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_010.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_010.png,50,0,50
11,37.879437250218196,warm,frame_011.png,frame_011.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_011.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_011.png,50,0,50
12,37.925638334302064,warm,frame_012.png,frame_012.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_012.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_012.png,50,0,50
13,38.01723564716253,warm,frame_013.png,frame_013.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_013.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_013.png,50,0,50
14,38.056975252585524,warm,frame_014.png,frame_014.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_014.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_014.png,50,0,50
15,38.12219659667424,warm,frame_015.png,frame_015.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/cleaned/frame_015.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-06-24_01-33-50/thermal/frame_015.png,50,0,50
