frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,29.5020523891185,neutral,frame_000.png,frame_000.wav,0,0,0,"cold:

hot:
"
1,27.99958596238442,neutral,frame_001.png,frame_001.wav,0,0,0,"cold:

hot:
"
2,27.728463429162847,neutral,frame_002.png,frame_002.wav,0,0,0,"cold:

hot:
"
3,25.91225878083593,neutral,frame_003.png,frame_003.wav,0,0,0,"cold:

hot:
"
4,24.108439011837433,neutral,frame_004.png,frame_004.wav,1,1,0,"cold:
item1:23.64
hot:
"
5,23.38230068933018,neutral,frame_005.png,frame_005.wav,1,1,0,"cold:
item1:22.87
hot:
"
6,29.32297215202603,neutral,frame_006.png,frame_006.wav,0,0,0,"cold:

hot:
"
7,29.24505943108602,neutral,frame_007.png,frame_007.wav,0,0,0,"cold:

hot:
"
8,28.877712145212744,neutral,frame_008.png,frame_008.wav,0,0,0,"cold:

hot:
"
9,26.42578589059724,neutral,frame_009.png,frame_009.wav,0,0,0,"cold:

hot:
"
10,25.232125496160133,neutral,frame_010.png,frame_010.wav,1,1,0,"cold:
item1:24.74
hot:
"
11,24.54370023208915,neutral,frame_011.png,frame_011.wav,1,1,0,"cold:
item1:24.07
hot:
"
