frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,29.752901607558666,neutral,frame_000.png,frame_000.wav,cleaned/frame_000.png,thermal/frame_000.png,0,0,0,"cold:

hot:
"
1,28.362214390592964,neutral,frame_001.png,frame_001.wav,cleaned/frame_001.png,thermal/frame_001.png,2,2,0,"cold:
item1:11?11
item2:13?28
hot:
"
2,39.057433255006,warm,frame_002.png,frame_002.wav,cleaned/frame_002.png,thermal/frame_002.png,1,0,1,"cold:

hot:
item1:0?30"
3,38.248225057086394,warm,frame_003.png,frame_003.wav,cleaned/frame_003.png,thermal/frame_003.png,1,0,1,"cold:

hot:
item1:0?31"
4,25.791813286295532,neutral,frame_004.png,frame_004.wav,cleaned/frame_004.png,thermal/frame_004.png,1,1,0,"cold:
item1:0?49
hot:
"
5,30.02781994824809,warm,frame_005.png,frame_005.wav,cleaned/frame_005.png,thermal/frame_005.png,10,10,0,"cold:
item1:0?0
item2:2?2
item3:5?5
item4:8?8
item5:13?13
item6:16?16
item7:19?19
item8:22?22
item9:30?30
item10:33?33
hot:
"
6,28.254272965173868,neutral,frame_006.png,frame_006.wav,cleaned/frame_006.png,thermal/frame_006.png,4,4,0,"cold:
item1:5?5
item2:19?19
item3:21?47
item4:49?49
hot:
"
7,26.11040284568212,neutral,frame_007.png,frame_007.wav,cleaned/frame_007.png,thermal/frame_007.png,1,1,0,"cold:
item1:0?49
hot:
"
8,26.28355755267035,neutral,frame_008.png,frame_008.wav,cleaned/frame_008.png,thermal/frame_008.png,1,1,0,"cold:
item1:0?49
hot:
"
