frame_number,mean_temperature,heat_range,image_filename,wav_filename
0,27.196979065278267,neutral,frame_000.png,frame_000.wav
1,26.923216160921843,neutral,frame_001.png,frame_001.wav
2,17.68108256137033,cold,frame_002.png,frame_002.wav
3,52.527887379127044,hot,frame_003.png,frame_003.wav
4,29.529275817616565,neutral,frame_004.png,frame_004.wav
5,29.629523202293274,neutral,frame_005.png,frame_005.wav
6,29.600871698320958,neutral,frame_006.png,frame_006.wav
7,29.3303314771111,neutral,frame_007.png,frame_007.wav
8,29.253656909380272,neutral,frame_008.png,frame_008.wav
9,28.962486626206413,neutral,frame_009.png,frame_009.wav
10,28.775754628007594,neutral,frame_010.png,frame_010.wav
11,28.632106226784316,neutral,frame_011.png,frame_011.wav
12,28.46106670227009,neutral,frame_012.png,frame_012.wav
13,28.26237674463788,neutral,frame_013.png,frame_013.wav
14,28.130734620151372,neutral,frame_014.png,frame_014.wav
15,28.080282005147694,neutral,frame_015.png,frame_015.wav
16,27.725257941043413,neutral,frame_016.png,frame_016.wav
17,27.72224729316035,neutral,frame_017.png,frame_017.wav
18,27.647820005933486,neutral,frame_018.png,frame_018.wav
19,27.491098262604705,neutral,frame_019.png,frame_019.wav
20,27.505529444696226,neutral,frame_020.png,frame_020.wav
21,27.425750289716746,neutral,frame_021.png,frame_021.wav
22,27.441861442917418,neutral,frame_022.png,frame_022.wav
23,27.334485233494558,neutral,frame_023.png,frame_023.wav
24,27.3432642988649,neutral,frame_024.png,frame_024.wav
25,27.29751534589059,neutral,frame_025.png,frame_025.wav
26,27.33735796067228,neutral,frame_026.png,frame_026.wav
27,27.211661596547007,neutral,frame_027.png,frame_027.wav
28,27.23480074405124,neutral,frame_028.png,frame_028.wav
29,27.18340232798955,neutral,frame_029.png,frame_029.wav
30,27.252578713309248,neutral,frame_030.png,frame_030.wav
31,27.153850865872176,neutral,frame_031.png,frame_031.wav
32,27.175698063724187,neutral,frame_032.png,frame_032.wav
33,27.137524976563014,neutral,frame_033.png,frame_033.wav
34,27.168008775420855,neutral,frame_034.png,frame_034.wav
35,27.03157458314065,neutral,frame_035.png,frame_035.wav
36,27.021349106747206,neutral,frame_036.png,frame_036.wav
37,27.06605526512656,neutral,frame_037.png,frame_037.wav
38,27.040192628996056,neutral,frame_038.png,frame_038.wav
39,27.083828196675892,neutral,frame_039.png,frame_039.wav
40,27.000182751175984,neutral,frame_040.png,frame_040.wav
41,26.925883819553224,neutral,frame_041.png,frame_041.wav
42,26.899644899264658,neutral,frame_042.png,frame_042.wav
43,26.904213583331536,neutral,frame_043.png,frame_043.wav
44,26.991295091558417,neutral,frame_044.png,frame_044.wav
45,26.969788867138245,neutral,frame_045.png,frame_045.wav
46,26.985020631458443,neutral,frame_046.png,frame_046.wav
47,26.984108336529417,neutral,frame_047.png,frame_047.wav
48,26.898522983539397,neutral,frame_048.png,frame_048.wav
49,26.887448988031935,neutral,frame_049.png,frame_049.wav
50,26.874336303162618,neutral,frame_050.png,frame_050.wav
51,26.86406451546839,neutral,frame_051.png,frame_051.wav
52,26.852238427022325,neutral,frame_052.png,frame_052.wav
53,26.905205243008567,neutral,frame_053.png,frame_053.wav
54,26.877015686238448,neutral,frame_054.png,frame_054.wav
55,26.900706115092927,neutral,frame_055.png,frame_055.wav
56,26.88307500710952,neutral,frame_056.png,frame_056.wav
57,26.898850467388687,neutral,frame_057.png,frame_057.wav
58,26.868318580487426,neutral,frame_058.png,frame_058.wav
