frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,29.797027050309012,neutral,frame_000.png,frame_000.wav,cleaned/frame_000.png,thermal/frame_000.png,0,0,0,"cold:

hot:
"
1,39.514163912588174,warm,frame_001.png,frame_001.wav,cleaned/frame_001.png,thermal/frame_001.png,2,0,2,"cold:

hot:
item1:0?35
item2:47?49"
2,45.16466960118081,hot,frame_002.png,frame_002.wav,cleaned/frame_002.png,thermal/frame_002.png,2,0,2,"cold:

hot:
item1:0?42
item2:47?49"
3,31.801277282173967,warm,frame_003.png,frame_003.wav,cleaned/frame_003.png,thermal/frame_003.png,7,3,4,"cold:
item1:7?27
item2:31?34
item3:36?36
hot:
item1:28?30
item2:35?35
item3:41?42
item4:47?47"
4,36.82167881867008,warm,frame_004.png,frame_004.wav,cleaned/frame_004.png,thermal/frame_004.png,3,2,1,"cold:
item1:41?41
item2:44?44
hot:
item1:0?35"
5,25.8741446869161,neutral,frame_005.png,frame_005.wav,cleaned/frame_005.png,thermal/frame_005.png,1,1,0,"cold:
item1:0?49
hot:
"
