frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,25.378178654839477,neutral,frame_000.png,frame_000.wav,cleaned/frame_000.png,thermal/frame_000.png,2,2,0,"cold:
item1:0?47
item2:49?49
hot:
"
1,34.93806229796345,warm,frame_001.png,frame_001.wav,cleaned/frame_001.png,thermal/frame_001.png,4,3,1,"cold:
item1:35?35
item2:38?38
item3:41?41
hot:
item1:0?22"
2,39.210843366987355,warm,frame_002.png,frame_002.wav,cleaned/frame_002.png,thermal/frame_002.png,3,1,2,"cold:
item1:35?49
hot:
item1:0?0
item2:6?33"
3,23.697132447002048,neutral,frame_003.png,frame_003.wav,cleaned/frame_003.png,thermal/frame_003.png,1,1,0,"cold:
item1:0?49
hot:
"
4,43.197543835083856,hot,frame_004.png,frame_004.wav,cleaned/frame_004.png,thermal/frame_004.png,1,0,1,"cold:

hot:
item1:0?49"
5,32.364875097010945,warm,frame_005.png,frame_005.wav,cleaned/frame_005.png,thermal/frame_005.png,2,1,1,"cold:
item1:31?49
hot:
item1:0?30"
6,24.041906723140837,neutral,frame_006.png,frame_006.wav,cleaned/frame_006.png,thermal/frame_006.png,1,1,0,"cold:
item1:0?49
hot:
"
7,24.67454542491598,neutral,frame_007.png,frame_007.wav,cleaned/frame_007.png,thermal/frame_007.png,1,1,0,"cold:
item1:0?49
hot:
"
8,24.14824885910083,neutral,frame_008.png,frame_008.wav,cleaned/frame_008.png,thermal/frame_008.png,1,1,0,"cold:
item1:0?49
hot:
"
