frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,26.78606736467079,neutral,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_000.png,0,0,0,"cold:

hot:
"
1,26.91839343344599,neutral,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_001.png,0,0,0,"cold:

hot:
"
2,27.081275909440425,neutral,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_002.png,0,0,0,"cold:

hot:
"
3,27.084522623395475,neutral,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_003.png,0,0,0,"cold:

hot:
"
4,27.24377364016777,neutral,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_004.png,0,0,0,"cold:

hot:
"
5,39.40356249215401,warm,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_005.png,0,0,0,"cold:

hot:
"
6,30.243403105280738,warm,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_006.png,0,0,0,"cold:

hot:
"
7,37.13048882882223,warm,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_007.png,0,0,0,"cold:

hot:
"
8,40.99506512680336,hot,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_008.png,0,0,0,"cold:

hot:
"
9,43.17207899099335,hot,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-23_10-46-17/thermal/frame_009.png,0,0,0,"cold:

hot:
"
