frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,24.66373389764233,neutral,frame_000.png,frame_000.wav,0,0,0,"cold:

hot:
"
1,23.907717251528585,neutral,frame_001.png,frame_001.wav,1,0,1,"cold:

hot:
item1:35?39"
2,23.516252490719864,neutral,frame_002.png,frame_002.wav,1,0,1,"cold:

hot:
item1:35?39"
3,23.945589456030103,neutral,frame_003.png,frame_003.wav,1,0,1,"cold:

hot:
item1:33?37"
4,23.931343437548733,neutral,frame_004.png,frame_004.wav,1,0,1,"cold:

hot:
item1:44?44"
5,25.703085367403826,neutral,frame_005.png,frame_005.wav,1,0,1,"cold:

hot:
item1:40?45"
6,18.72532032836717,cold,frame_006.png,frame_006.wav,0,0,0,"cold:

hot:
"
7,18.04032319021051,cold,frame_007.png,frame_007.wav,0,0,0,"cold:

hot:
"
8,15.23599022696277,cold,frame_008.png,frame_008.wav,0,0,0,"cold:

hot:
"
9,18.06372726897795,cold,frame_009.png,frame_009.wav,0,0,0,"cold:

hot:
"
10,18.03092009945271,cold,frame_010.png,frame_010.wav,0,0,0,"cold:

hot:
"
11,17.93763173238509,cold,frame_011.png,frame_011.wav,0,0,0,"cold:

hot:
"
12,18.77532208052193,cold,frame_012.png,frame_012.wav,0,0,0,"cold:

hot:
"
13,20.389668435094897,neutral,frame_013.png,frame_013.wav,0,0,0,"cold:

hot:
"
14,23.18690457566501,neutral,frame_014.png,frame_014.wav,0,0,0,"cold:

hot:
"
15,22.91971546347597,neutral,frame_015.png,frame_015.wav,0,0,0,"cold:

hot:
"
16,22.99627997355118,neutral,frame_016.png,frame_016.wav,0,0,0,"cold:

hot:
"
17,24.804186860102828,neutral,frame_017.png,frame_017.wav,0,0,0,"cold:

hot:
"
